pos,turn,result
2b4k/ppn3r1/2p1n3/2P4p/1P2P2q/P4PpP/1Q5N/3R1BRK,1,-1
2b4k/ppn3r1/2p1n3/2P1Q2p/1P2P2q/P4PpP/7N/3R1BRK,0,-1
2b4k/ppn3r1/2p5/2P1Q2p/1P2Pn1q/P4PpP/7N/3R1BRK,1,-1
2b4k/ppn3r1/2p5/2P1Q2p/1P2Pn1q/P4PpP/3R3N/5BRK,0,-1
2b4k/pp4r1/2p1n3/2P1Q2p/1P2Pn1q/P4PpP/3R3N/5BRK,1,-1
1Qb4k/pp4r1/2p1n3/2P4p/1P2Pn1q/P4PpP/3R3N/5BRK,0,-1
1Qb3rk/pp6/2p1n3/2P4p/1P2Pn1q/P4PpP/3R3N/5BRK,1,-1
2b3rk/pp6/2p1n3/2P1Q2p/1P2Pn1q/P4PpP/3R3N/5BRK,0,-1
2b3r1/pp5k/2p1n3/2P1Q2p/1P2Pn1q/P4PpP/3R3N/5BRK,1,-1
2b3r1/pp5k/2p1n3/2P2Q1p/1P2Pn1q/P4PpP/3R3N/5BRK,0,-1
2b3r1/pp6/2p1n2k/2P2Q1p/1P2Pn1q/P4PpP/3R3N/5BRK,1,-1
2b3r1/pp6/2pRn2k/2P2Q1p/1P2Pn1q/P4PpP/7N/5BRK,0,-1
2b5/pp6/2pRn1rk/2P2Q1p/1P2Pn1q/P4PpP/7N/5BRK,1,-1
2b5/pp6/2pRn1rk/2P1Q2p/1P2Pn1q/P4PpP/7N/5BRK,0,-1
2b5/pp5k/2pRn1r1/2P1Q2p/1P2Pn1q/P4PpP/7N/5BRK,1,-1
2b5/pp5k/2pRn1r1/2P2Q1p/1P2Pn1q/P4PpP/7N/5BRK,0,-1
2b5/pp4k1/2pRn1r1/2P2Q1p/1P2Pn1q/P4PpP/7N/5BRK,1,-1
2b5/pp4k1/2pRn1r1/2P1Q2p/1P2Pn1q/P4PpP/7N/5BRK,0,-1
2b5/pp3k2/2pRn1r1/2P1Q2p/1P2Pn1q/P4PpP/7N/5BRK,1,-1
2b5/pp3k2/2pRn1r1/2P2Q1p/1P2Pn1q/P4PpP/7N/5BRK,0,-1
2b5/pp2k3/2pRn1r1/2P2Q1p/1P2Pn1q/P4PpP/7N/5BRK,1,-1
2b5/pp2k3/2p1n1r1/2P2Q1p/1P2Pn1q/P4PpP/3R3N/5BRK,0,-1
2b5/pp2k3/2p1nqr1/2P2Q1p/1P2Pn2/P4PpP/3R3N/5BRK,1,-1
2b5/pp2k3/2p1nqr1/2P2Q1p/1PB1Pn2/P4PpP/3R3N/6RK,0,-1
2b5/pp2k1q1/2p1n1r1/2P2Q1p/1PB1Pn2/P4PpP/3R3N/6RK,1,-1
2b5/pp2k1q1/2p1n1r1/2P2Q1p/1PB1PnN1/P4PpP/3R4/6RK,0,-1
2b5/pp2k1q1/2p1n3/2P2Qrp/1PB1PnN1/P4PpP/3R4/6RK,1,-1
2b5/pp2k1q1/2p1n3/2P2Qrp/1PB1Pn2/P3NPpP/3R4/6RK,0,-1
2b1k3/pp4q1/2p1n3/2P2Qrp/1PB1Pn2/P3NPpP/3R4/6RK,1,-1
2b1k3/pp4q1/2p1n3/2P2Qrp/1PB1Pn2/P3NPpP/3R4/3R3K,0,-1
2b1k3/pp4q1/2p1n3/2P2r1p/1PB1Pn2/P3NPpP/3R4/3R3K,1,-1
2b1k3/pp4q1/2p1n3/2P2P1p/1PB2n2/P3NPpP/3R4/3R3K,0,-1
2b1k3/pp6/2p1n3/2P2P1p/1PB2n2/P1q1NPpP/3R4/3R3K,1,-1
